Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
S;Stop;114836960;114837444;134470;134500;;;
B;Stop;114837179;114837581;134460;134460;;;
B;Stop;114837579;114837774;134440;134340;;;
S;Stop;114837859;114838319;134310;134310;;;
S;Stop;114838273;114838357;134270;134370;;;
B;Stop;114838411;114838436;134270;134170;;;
S;Stop;114838522;114838823;134190;134290;;;
B;Stop;114839078;114839125;134330;134230;;;
S;Stop;114839323;114839708;134270;134370;;;
B;Stop;114839447;114839751;134260;134260;;;
B;Stop;114839738;114839773;134300;134200;;;
S;Stop;114839945;114840260;134240;134250;;;
S;Stop;114840259;114840289;134260;134360;;;
B;Stop;114840042;114840551;134210;134210;;;
B;Stop;114840517;114840570;134290;134190;;;
B;Stop;114840815;114840829;134180;134080;;;
S;Stop;114841779;114842137;133810;133910;;;
B;Stop;114842160;114842212;133810;133710;;;
B;Stop;114842625;114842893;133580;133480;;;
S;Stop;114843555;114843597;133270;133370;;;
S;Stop;114843164;114843598;133380;133380;;;
S;Stop;114842499;114844026;133590;133590;;;
B;Stop;114843796;114844198;133450;133450;;;
B;Stop;114844159;114844208;133530;133430;;;
S;Stop;114844300;114844442;133460;133560;;;
B;Stop;114844752;114844788;133680;133580;;;
B;Stop;114845095;114845264;133610;133510;;;
S;Stop;114844883;114845478;133640;133640;;;
B;Stop;114845520;114845731;133540;133540;;;
B;Stop;114845703;114845844;133570;133470;;;
S;Stop;114845393;114845977;133580;133580;;;
S;Stop;114845937;114846138;133510;133610;;;
B;Stop;114846045;114846346;133490;133490;;;
B;Stop;114846225;114846350;133550;133450;;;
B;Stop;114846567;114846616;133460;133360;;;
S;Stop;114846802;114847037;133330;133430;;;
B;Stop;114847078;114847166;133360;133260;;;
S;Stop;114847242;114847308;133300;133400;;;
S;Stop;114847138;114847308;133400;133400;;;
S;Stop;114846451;114847337;133470;133470;;;
B;Stop;114848230;114848574;133740;133740;;;
B;Stop;114848532;114848698;133760;133660;;;
B;Stop;114847773;114848713;133610;133610;;;
S;Stop;114848786;114848966;133700;133810;;;
S;Stop;114840712;114849895;134190;134190;;;
S;Stop;114850181;114850827;134170;134270;;;
S;Stop;114851125;114851440;134240;134240;;;
B;Stop;114851002;114851517;134220;134190;;;
S;SoftwareClose;114851296;114851533;134230;134160;Фиксированная 7;;
S;SoftwareClose;114837443;114851533;134510;134160;Фиксированная 6;;
S;SoftwareClose;114836692;114851533;134610;134160;Фиксированная 5;;
S;SoftwareClose;114835959;114851533;134650;134160;Фиксированная 4;;
S;SoftwareClose;114835611;114851533;134710;134160;Фиксированная 3;;
S;SoftwareClose;114835259;114851533;134780;134160;Фиксированная 2;;
S;SoftwareClose;114834773;114851533;134960;134160;Фиксированная 1;;
S;Stop;114851943;114852170;134230;134330;;;
B;Stop;114851516;114852391;134200;134200;;;
B;Stop;114852284;114852462;134260;134160;;;
B;Stop;114849965;114852537;134120;134120;;;
B;Stop;114849705;114852611;134010;134010;;;
B;Stop;114849047;114853379;133740;133740;;;
B;Stop;114848870;114853492;133690;133690;;;
S;Stop;114853753;114854071;133680;133780;;;
S;Stop;114853576;114854071;133780;133780;;;
B;Stop;114854251;114854316;133700;133600;;;
B;Stop;114847583;114854685;133530;133530;;;
B;Stop;114854470;114854686;133620;133520;;;
S;Stop;114854733;114855191;133570;133570;;;
S;Stop;114855114;114855238;133510;133610;;;
S;Stop;114854388;114855287;133640;133640;;;
S;Stop;114855621;114855895;133690;133790;;;
S;Stop;114853203;114856082;133930;133930;;;
S;SoftwareClose;114852715;114856165;134110;133830;Фиксированная 1;;
B;Stop;114856424;114856526;133940;133840;;;
B;Stop;114856138;114856534;133830;133830;;;
B;Stop;114856848;114856992;133760;133660;;;
B;Stop;114855528;114857005;133630;133630;;;
S;Stop;114857042;114857209;133730;133730;;;
S;Stop;114857170;114857385;133700;133700;;;
S;Stop;114857373;114857513;133680;133780;;;
